counterparty_id,counterparty_name,domicile,lei_code,onboarded_date,relationship_manager,credit_limit_usd,internal_rating,_true_a_id,_match_type
CP-000835,Evans-Jones,DK,,2022-06-16,Alexander Davis,29113495,2B,ENT-000554,ambiguous
CP-000775,Adams-Clayton Limited,HK,,2020-07-04,Mrs. Bethany Phillips,79189080,1B,ENT-000870,ambiguous
CP-000915,"Villanueva, Butler and Williams & Co",AT,,2019-09-14,Morgan Gordon MD,31969535,2A,,unmatched
CP-000292,Gray-Tran P.L.C.,IT,,2022-01-11,Angel Reilly,27933987,2A,ENT-000737,matched
CP-000063,Lopez-Willis ag,AT,1Q5M00S7UPSPAG3JBR70,2010-06-27,Blake Orr,9011205,2B,ENT-000757,matched
CP-000059,Riggs Plc Group,FR,,2011-09-04,Joshua Arellano,99911628,1A,ENT-000141,matched
CP-000603,Cole LLC LTD,LU,,2011-12-09,Lisa Brown,621062,1A,ENT-000848,matched
CP-000035,"williams, castillo and warren ab",NO,,2022-02-28,Stacey Snyder,84346774,3B,ENT-000590,matched
CP-000691,Green-Edwards Cap.,DK,5KGO00VJGA4GF7DUGA11,2011-12-01,Taylor Andersen,28773093,1B,ENT-000960,matched
CP-000781,Ware,GB,,2016-06-12,Karen Lopez,27173895,1B,ENT-000391,ambiguous
CP-000529,Hernandez-Dawson Hldg,NL,,2022-11-28,Patty Allen,69507062,2A,ENT-000970,matched
CP-000815,"Walters, Davenport",LU,,2010-03-10,Timothy Moore,31567988,1B,ENT-000918,ambiguous
CP-000980,"York, Wells and Wolfe BV",NL,,2021-12-20,Michael Rodriguez,20123268,3B,,unmatched
CP-000015,"Moore, Henderson and",BE,6SFJ00QD9C7T71AC2792,2022-11-08,Sylvia Schroeder,43300401,2B,ENT-000791,matched
CP-000540,Williams-Berg GRP,DE,,2013-04-22,Steve Miller PhD,95141323,2B,ENT-000509,matched
CP-000150,"Hernandez, Jenkins and Parks Cap.",FR,PUYL00TDSEKCEHQO6777,2012-05-30,Rodney Evans,22891279,2A,ENT-000895,matched
CP-000068,"Austin, Day and",AT,E1U2004ZQFEZKFH00A83,2015-02-01,William Graham,30518991,1B,ENT-000382,matched
CP-000628,Martinez-Dudley AB,HK,VBPH00VGNQGMJMBUKD69,2021-12-30,Bailey Stewart,89160133,1B,ENT-000262,matched
CP-000656,Freeman-Chang Hldgs,ES,87F0000TERKMBY9IPA45,2010-06-10,Nathan Wilson,90506057,2B,ENT-000205,matched
CP-000377,Taylor-Ayala & Co,AT,,2023-08-29,Matthew Watts,39120810,1B,ENT-000890,matched
CP-000889,Castaneda-Rodriguez AG,ES,,2012-10-28,Timothy Williams,82023337,NR,ENT-000306,ambiguous
CP-000612,Werner-Carter Hldg,JP,,2010-12-08,James Moore,96470624,3A,ENT-000855,matched
CP-000755,Tran,NO,,2020-03-16,Rebecca Nguyen,79872506,NR,ENT-000936,ambiguous
CP-000996,Ewing Inc Holdings,DK,W0MD00ZANCSWY1ZE5H16,2010-04-16,Ernest Bennett,28259410,2B,,unmatched
CP-000167,"Evans, David and Hendrix",ES,,2012-01-24,Brian Gonzalez,16102927,1B,ENT-000604,matched
CP-000495,Davis GRP Group,AT,ZC4X00L9967I6YUJ7Y45,2016-07-05,Derrick Espinoza,36131484,1B,ENT-000097,matched
CP-000550,Estrada-Nolan hldgs,SE,,2017-07-01,Sonya Jackson,18667321,3A,ENT-000301,matched
CP-000407,Abbott-Munoz AB,NO,0Y9D00OM5IGQPKI7P580,2010-11-12,Edward Arroyo,41516432,3A,ENT-000009,matched
CP-000451,"ross, robinson and bright ab",HK,R1YX00R2DHYLURTP0L99,2014-03-01,Tracey Gonzalez,39764236,3A,ENT-000028,matched
CP-000492,Smith-Frost S.A.,IE,N891000T2F7ATWYAM158,2013-11-07,Lisa Nelson,86850195,1B,ENT-000125,matched
