counterparty_id,counterparty_name,domicile,lei_code,onboarded_date,relationship_manager,credit_limit_usd,internal_rating,_true_a_id,_match_type
CP-008493,Lewis-Anderson Group,FR,,2022-12-27,Timothy Harris,34409728,NR,ENT-007725,ambiguous
CP-002623,"Soto, Wang and",CH,HS3300PAMCIMHS7UPU30,2022-12-04,Dawn Baker,23530993,2B,ENT-009518,matched
CP-007454,Perez Ltd,AT,,2022-10-04,Tyler Butler,19610462,1B,ENT-001159,ambiguous
CP-003702,Figueroa-Wise & Co,AT,,2019-01-10,Janice Hodge,6504647,1A,ENT-009812,matched
CP-007682,"Watson,",NL,,2022-11-16,Misty Moreno,8205232,2A,ENT-000373,ambiguous
CP-005701,Mcgee-Parker bv,LU,,2018-01-20,Michael Jackson,88761449,1B,ENT-006192,matched
CP-002393,"Smith, Murphy and",JP,IQPZ00502XUUA5FJTD79,2023-05-17,Misty Reed,16496642,NR,ENT-004228,matched
CP-005319,Richards llc Capital,GB,W7ZO00G099FORMUC6791,2022-11-10,Amanda Wells,13314677,2B,ENT-008347,matched
CP-005921,Murphy-Lam ag,DE,,2017-04-30,Ashley Patton,19934348,1A,ENT-006208,matched
CP-007657,"Harris, Anderson",DK,,2023-06-24,Jacob Calderon,53713079,1A,ENT-001012,ambiguous
CP-000872,"Lewis, Montgomery and Robinson Hldgs",DK,,2012-04-27,Isabella Smith,58417552,2B,ENT-003103,matched
CP-006250,"Choi, Ortiz and",CA,87N700TMBGYOIP5Y8335,2013-07-09,Matthew Ray,72720573,1A,ENT-005461,matched
CP-003716,"Harris, Schaefer and Phelps Cap",GB,0KRM005IA4RXBD40PG39,2016-01-23,Robert Pratt,6728533,2B,ENT-008873,matched
CP-003308,Gray Limited & Partners,IT,OKR7008L1MRD8JPABS53,2011-12-16,Jorge Perry,66408001,NR,ENT-001021,matched
CP-000686,Collins-Cox LTD,GB,QPYH005H2O5LTG6FLA38,2017-07-03,Russell Burton,20413022,2A,ENT-002087,matched
CP-007872,"Goodman, Hendrix",IE,,2019-11-01,Tricia Macdonald,14214617,3B,ENT-008765,ambiguous
